Systematic_name	Common_name	GCF_000146045.2_R64_genomic_ID	SGD_ID
YJR061W	NA	ID=cds3110	SGD:S000003822
YJR062C	NTA1	ID=cds3111	SGD:S000003823
YJR063W	RPA12	ID=cds3112	SGD:S000003824
YJR064W	CCT5	ID=cds3113	SGD:S000003825
YJR065C	ARP3	ID=cds3114	SGD:S000003826
YJR066W	TOR1	ID=cds3115	SGD:S000003827
YJR067C	YAE1	ID=cds3116	SGD:S000003828
YJR068W	RFC2	ID=cds3117	SGD:S000003829
YJR069C	HAM1	ID=cds3118	SGD:S000003830
YJR070C	LIA1	ID=cds3119	SGD:S000003831
YJR072C	NPA3	ID=cds3120	SGD:S000003833
YJR073C	OPI3	ID=cds3121	SGD:S000003834
YJR074W	MOG1	ID=cds3122	SGD:S000003835
YJR075W	HOC1	ID=cds3123	SGD:S000003836
YJR076C	CDC11	ID=cds3124	SGD:S000003837
YJR077C	MIR1	ID=cds3125	SGD:S000003838
YJR078W	BNA2	ID=cds3126	SGD:S000003839
YJR079W	NA	ID=cds3127	SGD:S000003840
YJR080C	AIM24	ID=cds3128	SGD:S000003841
YJR082C	EAF6	ID=cds3129	SGD:S000003842
YJR083C	ACF4	ID=cds3130	SGD:S000003843
YJR084W	NA	ID=cds3131	SGD:S000003844
YJR085C	NA	ID=cds3132	SGD:S000003845
YJR086W	STE18	ID=cds3133	SGD:S000003846
YJR088C	EMC2	ID=cds3134	SGD:S000003848
YJR089W	BIR1	ID=cds3135	SGD:S000003849
YJR090C	GRR1	ID=cds3136	SGD:S000003850
YJR091C	JSN1	ID=cds3137	SGD:S000003851
YJR092W	BUD4	ID=cds3138	SGD:S000003852
YJR093C	FIP1	ID=cds3139	SGD:S000003853
YJR094C	IME1	ID=cds3140	SGD:S000003854
YJR094W-A	RPL43B	ID=cds3141	SGD:S000003855
YJR095W	SFC1	ID=cds3142	SGD:S000003856
YJR096W	NA	ID=cds3143	SGD:S000003857
YJR097W	JJJ3	ID=cds3144	SGD:S000003858
YJR098C	NA	ID=cds3145	SGD:S000003859
YJR099W	YUH1	ID=cds3146	SGD:S000003860
YJR100C	AIM25	ID=cds3147	SGD:S000003861
YJR101W	RSM26	ID=cds3148	SGD:S000003862
YJR102C	VPS25	ID=cds3149	SGD:S000003863
YJR103W	URA8	ID=cds3150	SGD:S000003864
YJR104C	SOD1	ID=cds3151	SGD:S000003865
YJR105W	ADO1	ID=cds3152	SGD:S000003866
YJR106W	ECM27	ID=cds3153	SGD:S000003867
YJR107W	LIH1	ID=cds3154	SGD:S000003868
YJR108W	ABM1	ID=cds3155	SGD:S000003869
YJR109C	CPA2	ID=cds3156	SGD:S000003870
YJR110W	YMR1	ID=cds3157	SGD:S000003871
YJR111C	PXP2	ID=cds3158	SGD:S000003872
YJR112W	NNF1	ID=cds3159	SGD:S000003873
YJR112W-A	NA	ID=cds3160	SGD:S000028513
YJR113C	RSM7	ID=cds3161	SGD:S000003874
YJR115W	NA	ID=cds3162	SGD:S000003876
YJR116W	TDA4	ID=cds3163	SGD:S000003877
YJR117W	STE24	ID=cds3164	SGD:S000003878
YJR118C	ILM1	ID=cds3165	SGD:S000003879
YJR119C	JHD2	ID=cds3166	SGD:S000003880
YJR120W	NA	ID=cds3167	SGD:S000003881
YJR121W	ATP2	ID=cds3168	SGD:S000003882
YJR122W	IBA57	ID=cds3169	SGD:S000003883
YJR123W	RPS5	ID=cds3170	SGD:S000003884
YJR124C	NA	ID=cds3171	SGD:S000003885
YJR125C	ENT3	ID=cds3172	SGD:S000003886
YJR126C	VPS70	ID=cds3173	SGD:S000003887
YJR128W	NA	NA	NA
YJR127C	RSF2	ID=cds3174	SGD:S000003888
YJR129C	EFM3	ID=cds3175	SGD:S000003890
YJR130C	STR2	ID=cds3176	SGD:S000003891
YJR131W	MNS1	ID=cds3177	SGD:S000003892
YJR132W	NMD5	ID=cds3178	SGD:S000003893
YJR133W	XPT1	ID=cds3179	SGD:S000003894
YJR134C	SGM1	ID=cds3180	SGD:S000003895
YJR135C	MCM22	ID=cds3181	SGD:S000003896
YJR135W-A	TIM8	ID=cds3182	SGD:S000007348
YJR136C	TTI2	ID=cds3183	SGD:S000003897
YJR137C	MET5	ID=cds3184	SGD:S000003898
YJR138W	IML1	ID=cds3185	SGD:S000003899
YJR139C	HOM6	ID=cds3186	SGD:S000003900
YJR140C	HIR3	ID=cds3187	SGD:S000003901
YJR141W	IPA1	ID=cds3188	SGD:S000003902
YJR142W	NA	ID=cds3189	SGD:S000003903
YJR143C	PMT4	ID=cds3190	SGD:S000003904
YJR144W	MGM101	ID=cds3191	SGD:S000003905
YJR145C	RPS4A	ID=cds3192	SGD:S000003906
YJR146W	NA	ID=cds3193	SGD:S000003907
YJR147W	HMS2	ID=cds3194	SGD:S000003908
YJR148W	BAT2	ID=cds3195	SGD:S000003909
YJR149W	NA	ID=cds3196	SGD:S000003910
YJR150C	DAN1	ID=cds3197	SGD:S000003911
YJR151C	DAN4	ID=cds3198	SGD:S000003912
YJR151W-A	NA	ID=cds3199	SGD:S000028557
YJR152W	DAL5	ID=cds3200	SGD:S000003913
YJR153W	PGU1	ID=cds3201	SGD:S000003914
YJR154W	NA	ID=cds3202	SGD:S000003915
YJR155W	AAD10	ID=cds3203	SGD:S000003916
YJR156C	THI11	ID=cds3204	SGD:S000003917
YJR158W	HXT16	ID=cds3205	SGD:S000003919
YJR159W	SOR1	ID=cds3206	SGD:S000003920
YJR160C	MPH3	ID=cds3207	SGD:S000003921
YJR161C	COS5	ID=cds3208	SGD:S000003922
YKL224C	PAU16	ID=cds3209	SGD:S000001707
YKL222C	NA	ID=cds3210	SGD:S000001705
YKL221W	MCH2	ID=cds3211	SGD:S000001704
YKL220C	FRE2	ID=cds3212	SGD:S000001703
YKL219W	COS9	ID=cds3213	SGD:S000001702
YKL218C	SRY1	ID=cds3214	SGD:S000001701
YKL217W	JEN1	ID=cds3215	SGD:S000001700
YKL216W	URA1	ID=cds3216	SGD:S000001699
YKL215C	OXP1	ID=cds3217	SGD:S000001698
YKL214C	YRA2	ID=cds3218	SGD:S000001697
YKL213C	DOA1	ID=cds3219	SGD:S000001696
YKL212W	SAC1	ID=cds3220	SGD:S000001695
YKL211C	TRP3	ID=cds3221	SGD:S000001694
YKL210W	UBA1	ID=cds3222	SGD:S000001693
YKL209C	STE6	ID=cds3223	SGD:S000001692
YKL208W	CBT1	ID=cds3224	SGD:S000001691
YKL207W	EMC3	ID=cds3225	SGD:S000001690
YKL206C	ADD66	ID=cds3226	SGD:S000001689
YKL205W	LOS1	ID=cds3227	SGD:S000001688
YKL204W	EAP1	ID=cds3228	SGD:S000001687
YKL203C	TOR2	ID=cds3229	SGD:S000001686
YKL201C	MNN4	ID=cds3230	SGD:S000001684
YKL198C	PTK1	ID=cds3231	SGD:S000001681
YKL197C	PEX1	ID=cds3232	SGD:S000001680
YKL196C	YKT6	ID=cds3233	SGD:S000001679
YKL195W	MIA40	ID=cds3234	SGD:S000001678
YKL194C	MST1	ID=cds3235	SGD:S000001677
YKL193C	SDS22	ID=cds3236	SGD:S000001676
YKL192C	ACP1	ID=cds3237	SGD:S000001675
YKL191W	DPH2	ID=cds3238	SGD:S000001674
YKL190W	CNB1	ID=cds3239	SGD:S000001673
YKL189W	HYM1	ID=cds3240	SGD:S000001672
YKL188C	PXA2	ID=cds3241	SGD:S000001671
YKL187C	FAT3	ID=cds3242	SGD:S000001670
YKL186C	MTR2	ID=cds3243	SGD:S000001669
YKL185W	ASH1	ID=cds3244	SGD:S000001668
YKL184W	SPE1	ID=cds3245	SGD:S000001667
YKL183C-A	NA	ID=cds3246	SGD:S000028558
YKL183W	LOT5	ID=cds3247	SGD:S000001666
YKL182W	FAS1	ID=cds3248	SGD:S000001665
YKL181W	PRS1	ID=cds3249	SGD:S000001664
YKL180W	RPL17A	ID=cds3250	SGD:S000001663
YKL179C	COY1	ID=cds3251	SGD:S000001662
YKL178C	STE3	ID=cds3252	SGD:S000001661
YKL176C	LST4	ID=cds3253	SGD:S000001659
YKL175W	ZRT3	ID=cds3254	SGD:S000001658
YKL174C	TPO5	ID=cds3255	SGD:S000001657
YKL173W	SNU114	ID=cds3256	SGD:S000001656
YKL172W	EBP2	ID=cds3257	SGD:S000001655
YKL171W	NNK1	ID=cds3258	SGD:S000001654
YKL170W	MRPL38	ID=cds3259	SGD:S000001653
YKL168C	KKQ8	ID=cds3260	SGD:S000001651
YKL167C	MRP49	ID=cds3261	SGD:S000001650
YKL166C	TPK3	ID=cds3262	SGD:S000001649
